"","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Martial_Status","Product_num","Purchase"
"1","F","0-17","10","1","3","0","34","333481"
"2","M","55+","16","3","5","0","76","810353"
"3","M","26-35","15","1","4","0","29","341635"
"4","M","46-50","7","2","3","1","13","205987"
"5","M","26-35","20","1","2","1","106","821001"
"6","F","51-55","9","1","2","0","46","379450"
"7","M","36-45","1","2","2","1","16","234427"
"8","M","26-35","12","3","5","1","76","796545"
"9","M","26-35","17","3","1","0","57","593960"
"10","F","36-45","1","2","5","1","222","2169486"
"11","F","26-35","1","3","2","0","69","556902"
"12","M","26-35","12","3","3","0","11","120801"
"13","M","46-50","1","3","4","1","60","713927"
"14","M","36-45","0","3","1","0","13","127629"
"15","M","26-35","7","1","2","0","116","1047124"
"16","F","36-45","0","3","1","1","21","150428"
"17","M","51-55","1","3","1","0","114","1425501"
"18","F","18-25","3","2","4","0","179","1978675"
"19","M","0-17","10","1","4","0","144","1457938"
"20","M","26-35","14","1","1","0","12","185747"
"21","M","18-25","16","2","1","0","13","126744"
"22","M","18-25","15","1","5","0","155","1279678"
"23","M","36-45","0","2","4","1","171","1670998"
"24","F","26-35","7","1","4","1","76","720850"
"25","M","18-25","4","3","5","0","43","534215"
"26","M","26-35","7","2","3","1","226","1606174"
"27","M","26-35","11","3","2","1","41","448562"
"28","F","26-35","1","3","3","1","57","516560"
"29","M","36-45","7","3","2","0","52","696201"
"30","F","36-45","7","3","4","0","30","260985"
"31","M","55+","7","3","3","0","64","496154"
"32","F","26-35","0","3","4","1","23","229000"
"33","M","46-50","3","1","2","1","215","1940043"
"34","F","18-25","0","1","1","0","99","807747"
"35","M","46-50","1","3","5","1","111","821303"
"36","M","26-35","3","2","1","0","199","2316532"
"37","F","26-35","9","3","2","0","30","248370"
"38","M","18-25","4","2","3","0","40","381977"
"39","F","18-25","4","3","4","0","15","146237"
"40","M","26-35","8","3","1","1","124","1483009"
"41","M","26-35","12","1","1","0","13","137548"
"42","M","46-50","17","2","4","1","120","1180380"
"43","F","46-50","16","1","2","1","162","928494"
"44","M","18-25","19","3","5","0","20","138367"
"45","M","18-25","4","3","5","1","14","131303"
"46","M","26-35","4","2","4","1","337","2787911"
"47","M","18-25","12","3","5","1","59","731991"
"48","F","26-35","2","1","2","1","24","198798"
"49","F","0-17","10","3","3","0","25","200772"
"50","M","18-25","4","3","1","0","42","523039"
"51","M","26-35","0","2","2","0","377","4270371"
"52","M","51-55","1","3","5","1","23","187201"
"53","F","36-45","12","2","2","0","13","134073"
"54","M","36-45","20","3","1","1","37","382860"
"55","M","18-25","19","3","3","0","42","312571"
"56","M","26-35","2","2","4","0","260","2896341"
"57","F","51-55","1","2","5","1","127","980068"
"58","M","51-55","1","3","2","1","35","279980"
"59","M","26-35","17","3","2","0","19","156299"
"60","F","36-45","3","1","2","0","281","2513136"
"61","M","18-25","4","3","3","0","63","553760"
"62","M","18-25","1","1","2","1","15","210948"
"63","M","36-45","12","3","3","1","66","892190"
"64","M","26-35","18","3","3","0","20","224910"
"65","F","51-55","5","3","5","1","36","352342"
"66","M","18-25","4","1","1","0","42","328177"
"67","F","26-35","1","1","2","0","35","315430"
"68","M","18-25","4","1","3","0","25","213755"
"69","M","26-35","14","1","1","1","16","157105"
"70","F","46-50","0","2","2","1","26","227919"
"71","M","18-25","4","1","5","0","133","1428265"
"72","M","36-45","14","1","3","1","28","326261"
